Date,Brand,City,State,$/Gal,Odometer,Gallons,Miles,MPG
2/24/13,Chevron,Berkeley,CA,4.159,707,8.452,412,48.75
3/8/13,Chevron,Tahoe City,CA,4.499,1028,8.137,321,39.45
3/12/13,Chevron,Meyers,CA,4.299,1430,8.545,402,47.05
4/8/13,Chevron,San Rafael,CA,3.999,1871,8.307,441,53.09
4/26/13,Chevron,Berkeley,CA,3.936,2088,4.764,217,45.55
4/27/13,Chevron,Tehachapi,CA,3.999,2434,6.68,346,51.8
4/28/13,Chevron,Hurricane,UT,3.799,2812,7.194,378,52.54
5/4/13,Texaco,Scipio,UT,3.759,3292,7.796,480,49
5/4/13,Chevron,Ely,NV,3.82,3501,4.314,209,48.45
5/5/13,Chevron,Colfax,CA,4.059,3910,7.839,409,52.18
5/24/13,Chevron,Vacaville,CA,3.999,4197,5.661,287,50.7
5/25/13,Chevron,Roseburg,OR,3.989,4582,8.273,385,46.54
5/27/13,Texaco,Crescent City,CA,4.159,4954,7.817,372,47.59
5/29/13,Chevron,Berkeley,CA,3.999,5350,8.993,396,44.03
6/5/13,Chevron,Berkeley,CA,3.969,5716,6.93,366,52.81
6/14/13,Chevron,Berkeley,CA,3.979,6191,8.245,475,57.61
6/22/13,Chevron,Berkeley,CA,4.219,6721,9.363,530,56.61
7/1/13,Chevron,Berkeley,CA,3.899,7162,8.002,441,55.11
7/9/13,Chevron,Berkeley,CA,3.889,7606,8.02,444,55.36
7/13/13,Chevron,Berkeley,CA,3.959,7937,5.824,331,56.8
7/20/13,Chevron,Berkeley,CA,3.959,8364,7.635,427,55.93
7/29/13,Chevron,Berkeley,CA,3.899,8897,9.564,533,55.73
8/4/13,Chevron,Berkeley,CA,3.879,9191,5.234,294,56.17
8/20/13,Chevron,Berkeley,CA,3.759,9678,9.071,487,53.69
8/23/13,Texaco,Mariposa,CA,4.099,9871,3.644,193,52.96
8/26/13,Chevron,Berkeley,CA,3.739,10340,8.596,469,54.56
9/19/13,Chevron,Bakersfield,CA,4.799,10707,7.541,367,48.67
9/21/13,Chevron,Anaheim,CA,3.999,11045,6.699,338,50.46
10/17/13,Chevron,Berkeley,CA,3.799,11731,5.51,270,49
10/18/13,Chevron,Mustang,NV,3.899,11952,4.623,221,47.8
10/18/13,Chevron,Battle Mountain,NV,3.499,12159,4.749,207,43.59
10/19/13,Texaco,Salt Lake City,UT,3.439,12462,7.174,303,42.24
10/22/13,Chevron,Tooele,UT,3.499,13086,6.175,256,41.46
10/23/13,Chevron,Winnemucca,NV,3.599,13424,7.687,388,43.97
11/6/13,Chevron,Berkeley,CA,3.659,13830,7.838,406,51.8
1/11/14,Chevron,Berkeley,CA,3.579,14223,8.833,393,44.49
3/4/14,Chevron,Berkeley,CA,3.899,14634,8.954,411,45.9
3/8/14,Chevron,Carquinez Bridge,CA,3.999,15002,9.553,368,38.52
3/22/14,Chevron,Berkeley,CA,3.919,15368,8.959,366,40.85
4/12/14,Chevron,Berkeley,CA,4.119,15744,9.086,376,41.38
5/21/14,Chevron,Berkeley,CA,4.139,16158,8.734,414,47.4
5/24/14,Chevron,Ventura,CA,4.139,16564,8.734,406,46.49
5/27/14,Chevron,Gonzales,CA,4.259,16999,8.625,435,50.43
6/29/14,Chevron,Berkeley,CA,4.179,17420,8.774,421,47.98
